OrderID,BookID,Quantity
1,9780765376671,1
1,9781429949620,1
2,9780765376671,1
3,9780547928227,1
3,9780547952017,1
4,9781250868282,1
4,9781250868299,1
4,9781250868312,1
5,9780553381689,1
6,9780702309519,1
7,9780316310314,1
8,9780439023528,1
8,9780545586177,1
8,9780545663267,1
9,9780765386632,2
10,9780312854270,1
11,9780765376671,1
12,9780553381689,1
12,9780553381696,1
12,9780553381702,1
13,9781250768681,1
13,9780765334343,1
14,9781250297143,1
15,9780765386694,1
16,9780765376671,1
16,9781429949620,1
17,9780702309519,1
18,9780316310314,1
18,9780316310321,1
19,9780439023528,1
19,9780545586177,1
20,9781250319180,2
21,9780765376671,1
21,9781429949620,1
21,9781250297143,1
22,9781250757302,1
23,9780553381689,1
23,9780553381696,1
24,9780702309519,1
24,9781546171461,1
25,9780765382030,1
25,9780765386694,1
26,9780316310314,1
26,9780316310321,1
26,9780316310376,1
27,9780439023528,1
27,9780545586177,1
27,9780545663267,1
28,9780765325952,1
29,9780765376671,1
30,9781250868282,1
30,9781250868299,1
31,9780553381689,1
31,9780553381696,1
31,9780553381702,1
31,9780553582024,1
32,9780702309519,1
33,9780765386632,3
34,9780316310314,1
34,9780316310321,1
35,9780439023528,1
36,9781250768681,1
36,9780765334343,1
37,9781429955966,1
37,9780804179607,1
38,9781250319180,1
39,9780765376671,1
39,9781429949620,1
39,9781250297143,1
40,9781250757302,1
41,9780553381689,1
41,9780553381696,1
42,9780702309519,1
43,9780765382030,1
43,9780765386694,1
44,9780316310314,1
44,9780316310321,2
45,9780439023528,1
45,9780545586177,1
46,9780312864255,1
47,9780765376671,1
47,9781429949620,1
47,9781250297143,1
47,9781250757302,1
47,9781250319180,1
1,9780765386694,1
2,9780547928227,1
5,9780553381696,1
6,9780804179607,1
7,9780316310321,1
9,9780765382030,1
10,9780312854287,1
11,9780765334343,1
13,9781250251497,1
15,9780765386632,1
17,9780702309519,2
19,9780545663267,1
22,9781250319180,1
24,9780804179607,1
26,9780765376671,1
28,9780765302304,1
32,9780702309519,2
34,9780316310376,1
36,9781250251497,1
38,9781250297143,1
40,9781250868282,1
42,9780804179607,1
44,9780316310376,1
46,9780312864590,1
18,9780316310376,1
23,9780553381702,1
29,9781250757302,1
33,9780765386694,1
39,9781250757302,1
